Filename	Plant Coverage (%)	Stressed Area (%)
ndvi_result04-17-2025_205229	11.95	0.00
ndvi_result04-18-2025_120617	0.01	0.00
ndvi_result04-18-2025_115912	1.21	0.00
ndvi_result04-18-2025_125621	0.00	0.00
ndvi_result04-17-2025_205107	99.96	0.00
ndvi_result04-18-2025_125724	0.02	0.00
ndvi_result04-17-2025_210250	4.80	0.00
ndvi_result04-18-2025_120435	0.04	0.00
ndvi_result04-18-2025_115017	0.39	0.00
ndvi_result04-30-2025_151406	0.01	23.38
ndvi_result04-30-2025_170338	0.08	0.00
ndvi_result04-17-2025_205229	11.95	57.00
ndvi_result04-18-2025_120617	0.01	74.29
ndvi_result04-18-2025_115912	1.21	56.89
ndvi_result04-18-2025_125621	0.00	34.48
ndvi_result04-30-2025_170023	1.84	0.00
ndvi_result04-30-2025_155629	21.75	74.69
ndvi_result04-17-2025_205107	99.96	0.05
ndvi_result04-30-2025_155755	0.00	0.00
ndvi_result04-18-2025_125724	0.02	75.31
ndvi_result04-17-2025_210250	4.80	67.40
ndvi_result04-30-2025_171154	0.22	0.00
ndvi_result04-30-2025_151557	0.12	8.23
ndvi_result04-30-2025_155832	0.00	0.00
ndvi_result04-18-2025_120435	0.04	71.10
ndvi_result04-30-2025_151644	0.00	35.80
ndvi_result04-30-2025_160438	0.14	0.00
ndvi_result04-30-2025_151244	99.91	0.11
ndvi_result04-18-2025_115017	0.39	58.06
ndvi_result04-30-2025_151406	0.01	23.38
ndvi_result04-30-2025_170338	0.08	0.00
ndvi_result04-17-2025_205229	11.95	57.00
ndvi_result04-18-2025_120617	0.01	74.29
ndvi_result04-18-2025_115912	1.21	56.89
ndvi_result04-18-2025_125621	0.00	34.48
ndvi_result04-30-2025_170023	1.84	0.00
ndvi_result04-30-2025_155629	21.75	74.69
ndvi_result04-17-2025_205107	99.96	0.05
ndvi_result04-30-2025_155755	0.00	0.00
ndvi_result04-18-2025_125724	0.02	75.31
ndvi_result04-17-2025_210250	4.80	67.40
ndvi_result04-30-2025_171154	0.22	0.00
ndvi_result04-30-2025_151557	0.12	8.23
ndvi_result04-30-2025_155832	0.00	0.00
ndvi_result04-18-2025_120435	0.04	71.10
ndvi_result04-30-2025_151644	0.00	35.80
ndvi_result04-30-2025_160438	0.14	0.00
ndvi_result04-30-2025_151244	99.91	0.11
ndvi_result04-18-2025_115017	0.39	58.06
ndvi_result04-30-2025_151406	0.01	26.31
ndvi_result04-30-2025_170338	0.08	0.00
ndvi_result04-17-2025_205229	12.54	59.06
ndvi_result04-18-2025_120617	0.01	77.22
ndvi_result04-18-2025_115912	1.29	59.65
ndvi_result04-18-2025_125621	0.00	38.71
ndvi_result04-30-2025_170023	1.84	0.00
ndvi_result04-30-2025_155629	24.47	77.49
ndvi_result04-17-2025_205107	99.96	0.05
ndvi_result04-30-2025_155755	0.00	0.00
ndvi_result04-18-2025_125724	0.02	77.32
ndvi_result04-17-2025_210250	5.22	70.07
ndvi_result04-30-2025_171154	0.22	0.00
ndvi_result04-30-2025_151557	0.13	8.93
ndvi_result04-30-2025_155832	0.00	0.00
ndvi_result04-18-2025_120435	0.04	73.61
ndvi_result04-30-2025_151644	0.00	38.82
ndvi_result04-30-2025_160438	0.14	0.00
ndvi_result04-30-2025_151244	99.92	0.12
ndvi_result04-18-2025_115017	0.46	64.27
ndvi_result04-30-2025_151406	0.68	98.81
ndvi_result04-30-2025_151406	0.68	98.81
ndvi_result04-30-2025_170338	0.08	0.00
ndvi_result04-17-2025_205229	27.33	54.09
ndvi_result04-18-2025_120617	0.07	85.21
ndvi_result04-18-2025_115912	4.25	69.56
ndvi_result04-18-2025_125621	0.00	91.51
ndvi_result04-30-2025_170023	1.89	2.41
ndvi_result04-30-2025_155629	57.84	57.71
ndvi_result04-17-2025_205107	99.99	0.03
ndvi_result04-30-2025_155755	0.00	0.00
ndvi_result04-18-2025_125724	0.26	91.54
ndvi_result04-17-2025_210250	18.56	71.85
ndvi_result04-30-2025_171154	0.22	0.00
ndvi_result04-30-2025_151557	0.59	78.89
ndvi_result04-30-2025_155832	0.00	100.00
ndvi_result04-18-2025_120435	0.43	89.51
ndvi_result05-01-2025_161843	0.21	0.00
ndvi_result04-30-2025_151644	0.00	53.55
ndvi_result04-30-2025_160438	0.14	0.00
ndvi_result04-30-2025_151244	99.97	0.05
ndvi_result04-18-2025_115017	2.60	82.50
ndvi_result04-30-2025_151406	0.68	98.81
ndvi_result04-30-2025_170338	0.08	0.00
ndvi_result04-17-2025_205229	27.33	54.09
ndvi_result04-18-2025_120617	0.07	85.21
ndvi_result04-18-2025_115912	4.25	69.56
ndvi_result04-18-2025_125621	0.00	91.51
ndvi_result04-30-2025_170023	1.89	2.41
ndvi_result04-30-2025_155629	57.84	57.71
ndvi_result04-17-2025_205107	99.99	0.03
ndvi_result04-30-2025_155755	0.00	0.00
ndvi_result04-18-2025_125724	0.26	91.54
ndvi_result04-17-2025_210250	18.56	71.85
ndvi_result04-30-2025_171154	0.22	0.00
ndvi_result04-30-2025_151557	0.59	78.89
ndvi_result04-30-2025_155832	0.00	100.00
ndvi_result04-18-2025_120435	0.43	89.51
ndvi_result05-01-2025_161843	0.21	0.00
ndvi_result04-30-2025_151644	0.00	53.55
ndvi_result04-30-2025_160438	0.14	0.00
ndvi_result04-30-2025_151244	99.97	0.05
